,line_score
0,3.9447100939148734
1,-1.6215258485656794
2,2.2809156639622765
3,-0.03798933526723025
5,4.182051751170194
6,6.528040130932074
7,6.381434594128162
8,-6.85780208385446
11,-0.5121635940002756
12,0.6163392488764863
13,11.78624485120509
14,-6.616464512991249
15,0.4920037464268888
16,4.494146158828564
17,7.631477456578077
18,-11.501202413510587
19,5.729185145310132
20,-1.7521925848006377
21,1.0171051938294084
22,-0.6847904053049714
23,0.2130275264775654
24,-0.3057452764935241
25,-1.322578907611319
26,1.4003794658888848
27,-0.7954277573655258
28,-2.8217714597255257
29,1.5794851241733343
30,-4.547461216910148
31,-1.338586880603875
32,-3.3487902944784778
33,-9.104552798092694
34,-10.037960741438084
36,-4.546097929134957
37,1.4770236771413416
38,0.8363094266450884
41,-0.08779734118111421
42,-4.2351110985429
43,0.6230079491844533
44,1.2436590924328677
45,1.9685676857564598
46,-3.3783133026009096
47,2.2914698589332616
48,8.450024213457542
49,2.4359884347337335
50,-3.2808971410641137
51,8.298119291362427
52,2.1228645760034413
53,-1.9033170633117111
54,-1.6270642280089103
55,10.688564577015557
56,9.428918243793817
57,9.428918243793817
58,-2.623397232614164
59,-0.5478838299187054
60,-1.363576543241174
61,0.4334266639661578
62,-3.7478274235211413
63,-5.31968021927988
64,0.7758693905144121
65,4.2866877714149805
66,14.30465569602561
67,5.018726325617168
68,-1.7693088728612985
69,5.618015115697372
70,21.378588511633822
71,1.5463088002000616
72,10.493224236740916
73,0.1888773955095595
74,5.211475857406764
75,1.1445117868246966
76,23.296990530209893
77,12.363104095280415
78,-0.8586578706602525
79,0.973332246152369
80,-1.854583018425319
81,2.8755096925946377
82,3.492833481010981
83,1.9562785970601655
84,6.478762151285456
85,2.732412586159923
86,2.824243120355616
87,1.4504044434407923
88,2.079810543229329
89,0.5218637285486447
90,3.9060982306787233
91,15.437878363998834
92,-0.28444531323519384
93,5.150438013792697
94,2.774908010105318
95,-5.555564878343647
96,-0.559684796089658
97,-0.5097717910376021
98,1.9784221797652088
99,6.23787017035765
102,-0.4673654850501378
103,-2.2934642324024184
104,-3.570801683234458
105,-1.8270928131006818
106,1.7806028841831267
107,0.34540784853966344
108,-0.14904061381668288
109,-0.28485152858576746
110,6.383221776349003
111,6.473376592364446
112,-0.9955931099766455
113,-1.5193176615936907
115,0.31899269433309496
116,12.131896294505095
117,10.711585194401014
119,1.4905951456829638
121,-4.135821810914777
122,0.4501975106112318
124,0.04772551990563567
125,1.2132589685431874
126,-10.5507987605504
127,-0.8223244076012667
128,0.0012266635742403942
129,0.6214097815759285
130,5.048776497299459
131,1.6873519409010833
132,9.711631920461011
134,15.180891864475965
135,17.36930570939408
136,5.316186295827896
137,-5.677784958140754
138,-4.6666830776645085
139,1.4423215394665738
140,0.5148458375524089
141,-8.78974921852766
142,-2.776195392513665
143,-2.776195392513665
144,-0.2962044748992606
147,7.145378275081148
148,0.5300631975044324
149,-10.481072647061438
150,-8.340425530136118
154,-6.766196820259282
155,-0.39893182471263483
157,-0.7888688145028084
158,0.11311147037190303
159,1.0065990622208734
160,-2.4037649555277927
163,1.3034830180908863
164,0.08941623057066192
166,0.4350695694543034
167,-0.6738501789453744
168,-0.6738501789453744
169,-2.197419503471143
170,-1.7560638291215391
172,1.2598870052103954
173,2.7922692151423325
174,6.19718109756547
176,0.37727987939848234
177,-0.8148819954446562
178,-0.2288570942665891
180,-3.4683084540061033
181,-1.2261718074217622
184,-9.743870603428908
185,-3.204101392839386
187,1.1314365434039715
188,-0.20216856043937498
192,0.2338177326416859
193,-0.5812155693297882
194,5.3740261752829515
195,1.0982277567090932
197,0.7018737939083988
199,-0.3215606507679766
200,-0.8857067910533161
201,-0.07298307574801377
202,-0.15361172372764242
203,1.083376048752455
204,1.5689298523408937
207,-0.4162321794447644
208,-0.7332778653156957
209,-0.6325802550254281
210,0.6035646285609404
211,0.6426048866500609
212,-0.4809469326494977
215,0.6313343683449213
216,0.22946073764152794
218,0.22637336811238382
219,0.05604331144393529
220,-1.6618477175200335
228,-3.879296391872553
229,0.7938962617807419
230,5.033644957386392
232,0.6426048866500609
233,0.8249151198464442
235,1.0025959346531876
236,0.6493002365370457
238,-1.8640421300000651
239,-0.24269119793029997
240,-0.5251474386237558
241,7.609548403531189
242,0.7579419979030911
244,1.4242485550013493
246,-0.4219986312204592
248,0.5086070896602174
249,-0.8429824375904988
250,1.1817074137259709
252,0.25894418993246104
253,1.2364156659922405
254,0.07313324036260635
256,2.833623565089715
257,0.0
258,-0.7641916165350775
259,0.1305827103052339
260,0.0
261,0.12923177743839254
262,-0.233077522315957
263,0.580632308416951
264,-0.5898550012774385
266,-0.478926387876362
268,-0.8684810831554586
269,-2.5971581731505733
270,-0.15759478457333848
271,0.6763093989790541
272,0.7246562251054997
273,0.13001899656397017
274,-1.4754973849513342
275,-1.7096333847464487
276,0.0
277,0.33012736166093354
278,-2.2358394249291504
279,-0.14961983816429827
281,-0.20082359178577866
283,-0.9024562973944704
285,2.1179992193261485
287,-1.4008323397447107
288,0.7579419979030911
289,0.30105411633479334
290,0.3423619484489368
291,-0.5234276448191213
292,0.17998802948669818
293,-0.669204411916315
294,0.03059352031678783
296,0.6496702934658325
297,0.38335208071733473
298,0.04915712423196408
299,-0.9523679055871286
300,-0.7336990992336294
301,-0.017645444900153184
302,-0.6403129865414658
303,-0.7160443560047787
304,0.028074548628552493
305,1.9366907502663897
306,-0.15275354994508003
307,0.0006926252412659262
308,-0.6525478773877491
309,-0.8842386533470118
310,-1.4942157001060805
311,2.160820393643899
312,-0.2598032194979225
313,-0.08732764657980191
315,-0.7054381280413462
316,0.750016746617341
318,-0.9640529345091355
320,-0.9049556383251876
321,0.8916608694286949
322,-1.2334898345309604
323,-7.1018358153605385
324,0.0
326,-0.3478252260645257
327,8.305958176703404
328,-0.30170848453959337
329,-0.5566784905510926
330,-1.448582833943777
331,-0.33635159910790774
332,-0.3263130183573614
333,0.2587786675688424
334,1.2137678714017959
335,1.6519910657422996
336,-13.901801251618892
337,-0.5559514495058646
338,1.0207619035514206
339,-0.10195471595134137
340,-14.980155909550874
343,-0.07181860392701422
344,1.1462912471404896
346,0.29844941892504007
347,0.29844941892504007
348,-1.6228595401643877
350,-1.1849144026646967
354,-0.3272234300674989
355,0.0
356,0.43877808405913205
357,0.04625500799254975
358,0.3047926075144084
360,-1.3596577971175798
361,-0.7643345654082723
362,-0.3052974751364278
363,-1.4264932927360259
364,-0.23570585591398344
365,-0.9559322547071685
367,-1.7342633094303463
368,0.23240952573259205
371,-0.06699702158939083
372,-0.013308166149023276
374,0.16209879651143727
375,0.0
378,-0.5626206067653321
379,-1.4364081016908168
380,-0.02623018241364128
385,-1.5505821569771536
386,0.08833069942998983
390,-1.2341062621634715
391,-0.70164340179433
393,-1.3023148462053238
394,0.22178451725214723
395,1.4932094309039603
396,0.49319831282608473
398,0.3695424428223607
399,0.5309039481487202
400,-0.620529805815818
401,-2.2150963454063075
402,-1.1595386044798652
405,0.9905073180410033
406,1.5487054721531395
410,-1.8948139860164868
411,-3.272535010618037
412,1.6460362359667982
414,1.94248481086488
415,-0.4816300054939892
416,1.5536382897509822
417,1.5898999438974055
419,0.16875766063577263
420,-0.31771165069625457
421,-1.0773417903723366
423,0.9007533716962388
424,1.5133913745630825
425,0.5873529493105906
426,0.6622508510184898
427,0.4884554088082932
428,-0.8896899916524212
429,-0.23210303798887139
432,0.5432881547052936
433,-0.1724310012384569
434,0.6112295915037789
436,-0.6503372580198756
438,4.1279023706410305
